log_size,precomp,c,msm_time(ms)
11.0,18.0,21.0,10.653
11.0,18.0,22.0,12.241
11.0,18.0,23.0,26.264
11.0,19.0,9.0,6.762
11.0,19.0,10.0,2.875
11.0,19.0,11.0,1.578
11.0,19.0,12.0,6.531
11.0,19.0,13.0,1.663
11.0,19.0,14.0,6.409
11.0,19.0,15.0,1.24
11.0,19.0,16.0,1.75
11.0,19.0,17.0,1.663
11.0,19.0,18.0,6.741
11.0,19.0,19.0,2.777
11.0,19.0,20.0,3.91
11.0,19.0,21.0,10.294
11.0,19.0,22.0,13.395
11.0,19.0,23.0,26.907
11.0,20.0,9.0,7.374
11.0,20.0,10.0,2.93
11.0,20.0,11.0,1.597
11.0,20.0,12.0,6.223
11.0,20.0,13.0,1.86
11.0,20.0,14.0,6.833
11.0,20.0,15.0,1.522
11.0,20.0,16.0,1.304
11.0,20.0,17.0,1.545
11.0,20.0,18.0,6.794
11.0,20.0,19.0,2.42
11.0,20.0,20.0,4.315
11.0,20.0,21.0,10.585
11.0,20.0,22.0,12.619
11.0,20.0,23.0,23.8
11.0,21.0,9.0,6.654
11.0,21.0,10.0,2.989
11.0,21.0,11.0,1.595
11.0,21.0,12.0,6.083
11.0,21.0,13.0,1.615
11.0,21.0,14.0,6.294
11.0,21.0,15.0,1.252
11.0,21.0,16.0,1.313
11.0,21.0,17.0,2.366
11.0,21.0,18.0,7.461
11.0,21.0,19.0,3.144
11.0,21.0,20.0,4.321
11.0,21.0,21.0,15.533
11.0,21.0,22.0,13.729
11.0,21.0,23.0,24.292
11.0,22.0,9.0,6.671
11.0,22.0,10.0,2.794
11.0,22.0,11.0,1.612
11.0,22.0,12.0,6.135
11.0,22.0,13.0,1.44
11.0,22.0,14.0,6.278
11.0,22.0,15.0,1.269
11.0,22.0,16.0,1.308
11.0,22.0,17.0,1.542
11.0,22.0,18.0,6.98
11.0,22.0,19.0,2.853
11.0,22.0,20.0,4.086
11.0,22.0,21.0,10.672
11.0,22.0,22.0,11.927
11.0,22.0,23.0,24.354
11.0,23.0,9.0,6.639
11.0,23.0,10.0,2.793
11.0,23.0,11.0,1.628
